"KNLRjg4utQc","算法讲解001【入门】学习算法的语言问题以及如何开通gpt4"
"a2TOrRoq7l0","算法讲解002【入门】从社会实验到入门提醒"
"snb1cumIaKA","算法讲解003【入门】二进制和位运算"
"HNwX7I30tpo","算法讲解004【入门】选择、冒泡、插入排序"
"SMgeoQJSxug","算法讲解005【入门】对数器-验证的重要手段"
"vsMZ_W5Tssc","算法讲解006【入门】二分搜索"
"e262N0SrKTo","算法讲解007【入门】时间复杂度和空间复杂度"
"gyQGLeFKa_w","算法讲解008【入门】算法和数据结构简介"
"XO6sLSOQkN8","算法讲解009【入门】单双链表及其反转-堆栈诠释"
"LYbrGQNvZqg","算法讲解010【入门】链表入门题目-合并两个有序链表"
"6Tp4R3Q-biY","算法讲解011【入门】链表入门题目-两个链表相加"
"zyDbzoiYBzU","算法讲解012【入门】链表入门题目-划分链表"
"noXbW8ysUH0","算法讲解013【入门】队列和栈 链表、数组实现"
"2njEmxGatBE","算法讲解014【入门】队列和栈入门题目-栈和队列相互实现"
"Lgx4RWpM_6k","算法讲解015【入门】栈的入门题目-最小栈"
"tSnF6C03joI","算法讲解016【入门】双端队列-双链表和固定数组实现"
"h7YHQKH42PU","算法讲解017【入门】二叉树及其三种序的递归实现"
"n8OiVwNbsKU","算法讲解018【入门】二叉树遍历的非递归实现和复杂度分析"
"t0-iRAJz5Yw","算法讲解019【必备】算法笔试中处理输入和输出"
"hoJ6--7aII8","算法讲解020【必备】递归和master公式"
"DHvBO4gwszI","算法讲解021【必备】归并排序"
"0U2dwYXecUE","算法讲解022【必备】归并分治"
"hcmSMRD_Eb0","算法讲解023【必备】随机快速排序"
"_DoPz26h7BQ","算法讲解024【必备】随机选择算法"
"Ufw0hIbah48","算法讲解025【必备】堆结构和堆排序"
"Vdk-r0QS57U","算法讲解026【必备】哈希表、有序表和比较器的用法"
"XMhsk09aB7o","算法讲解027【必备】堆结构常见题"
"6ObFWMsXdmI","算法讲解028【必备】基数排序"
"slH8YAaDOCY","算法讲解029【必备】重要排序算法的总结"
"WwYJVQuN_UI","算法讲解030【必备】异或运算的骚操作"
"LVrqEAoN9tM","算法讲解031【必备】位运算的骚操作"
"FjjpnQSDqPA","算法讲解032【必备】位图"
"v0D5Pq0bC4c","算法讲解033【必备】位运算实现加减乘除"
"drKlVMcnEwk","算法讲解034【必备】链表高频题目和必备技巧"
"S5vOinYLhIU","算法讲解035【必备】数据结构设计高频题"
"9vPRpBFdMLU","算法讲解036【必备】二叉树高频题目-上-不含树型dp"
"JWQVyCxgnNw","算法讲解037【必备】二叉树高频题目-下-不含树型dp"
"it1aJMOzqoY","算法讲解038【必备】常见经典递归过程解析"
"1_2y4ZNYCZ8","算法讲解039【必备】嵌套类问题的递归解题套路"
"RNlIxfDfzi8","算法讲解040【必备】N皇后问题-重点是位运算的版本"
"FMlPMBd17oA","算法讲解041【必备】最大公约数、同余原理"
"b_PWCbUpOjI","算法讲解042【必备】对数器打表找规律的技巧"
"BRW2j8O2GWg","算法讲解043【必备】根据数据量猜解法的技巧-天字第一号重要技巧"
"I3GZIJzg4y4","算法讲解044【必备】前缀树原理和代码详解"
"o5q3-NXYrKk","算法讲解045【必备】前缀树的相关题目"
"jmHi4MTa0qE","算法讲解046【必备】构建前缀信息的技巧-解决子数组相关问题"
"8xnuicZeJf4","算法讲解047【必备】一维差分与等差数列差分"
"abQbADXQgLY","算法讲解048【必备】二维前缀和、二维差分、离散化技巧"
"t1mlisGmH7I","算法讲解049【必备】滑动窗口技巧与相关题目"
"T_99EBfefyg","算法讲解050【必备】双指针技巧与相关题目"
"uLt8lNeNFlk","算法讲解051【必备】二分答案法与相关题目"
"qszcBd0Y08E","算法讲解052【必备】单调栈-上"
"UiJuzZ2Hr0Y","算法讲解053【必备】单调栈-下"
"ndtYbJIzUm8","算法讲解054【必备】单调队列-上"
"LOyOzxeSy0U","算法讲解055【必备】单调队列-下"
"BouW-NjgRcI","算法讲解056【必备】并查集-上"
"udLkbanV8sg","算法讲解057【必备】并查集-下"
"BK7hHKxtzmw","算法讲解058【必备】洪水填充"
"8PGU_8Wnm7o","算法讲解059【必备】建图、链式前向星、拓扑排序"
"aN8VUItiSVU","算法讲解060【必备】拓扑排序的扩展技巧"
"sHcx3-aMPoQ","算法讲解061【必备】最小生成树"
"oEW2leDRVY0","算法讲解062【必备】宽度优先遍历及其扩展"
"EHyHlRZ5Eaw","算法讲解063【必备】双向广搜"
"SU9VGSHl7rU","算法讲解064【必备】Dijkstra算法、分层图最短路"
"1nz_0zgKAy4","算法讲解065【必备】A星、Floyd、Bellman Ford与SPFA"
"n23bxZi4ZaY","算法讲解066【必备】从递归入手一维动态规划"
"ZfCVUUWi2Y8","算法讲解067【必备】从递归入手二维动态规划"
"cDljUjSkQ3c","算法讲解068【必备】见识更多二维动态规划题目"
"oN9APUVcARI","算法讲解069【必备】从递归入手三维动态规划"
"08C6eyZmRFI","算法讲解070【必备】子数组最大累加和问题与扩展-上"
"qwsNGHkI64A","算法讲解071【必备】子数组最大累加和问题与扩展-下"
"zVQITvgQb8g","算法讲解072【必备】最长递增子序列问题与扩展"
"D4_ALr_diN4","算法讲解073【必备】背包dp-01背包、有依赖的背包"
"gzvk0ARve4o","算法讲解074【必备】背包dp-分组背包、完全背包"
"rC0tQ_XNeC8","算法讲解075【必备】背包dp-多重背包、混合背包"
"73EmMoOAxIU","算法讲解076【必备】区间dp-上"
"Xr1e0RzRUI4","算法讲解077【必备】区间dp-下"
"QcNa9gY1DC8","算法讲解078【必备】树型dp-上"
"Zi20Y1z82QM","算法讲解079【必备】树型dp-下"
"d3Woi8vseW4","算法讲解080【必备】状压dp-上"
"V7p1tlXvrac","算法讲解081【必备】状压dp-下"
"YaHph90kdWE","算法讲解082【必备】动态规划中用观察优化枚举的技巧-上"
"OsgWL0EDJt8","算法讲解083【必备】动态规划中用观察优化枚举的技巧-下"
"UDQuzNfh_Bg","算法讲解084【必备】数位dp-上"
"EIn5sVifJIc","算法讲解085【必备】数位dp-下"
"OgUt4v1wZCU","算法讲解086【必备】动态规划中得到具体决策方案的技巧"
"VPnN8DkLkvY","算法讲解087【必备】动态规划中根据数据量猜解法的技巧"
"yZC-phNDGOU","算法讲解088【必备】动态规划专题总结与预告"
"7lrD9J73QtE","算法讲解089【必备】贪心经典题目专题1"
"YnYk7es41xg","算法讲解090【必备】贪心经典题目专题2"
"eYtHCSg72Go","算法讲解091【必备】贪心经典题目专题3"
"_8iwu-ZC2hs","算法讲解092【必备】贪心经典题目专题4"
"MmnXosL054s","算法讲解093【必备】贪心经典题目专题5"
"BwsUHejHdWE","算法讲解094【必备】贪心经典题目专题6"
"vx1hnvEAvKc","算法讲解095【必备】博弈类问题必备内容详解-上"
"-PSUc5_xnLs","算法讲解096【必备】博弈类问题必备内容详解-下"
"04wYDACG5KY","算法讲解097【必备】质数判断、质因子分解、质数筛"
"SpJCXoVv_kI","算法讲解098【必备】快速幂、矩阵快速幂与两类问题"
"kBh4-ZvX6Hs","算法讲解099【扩展】逆元和除法同余、容斥原理"
"nIPW5exH4vI","算法讲解100【扩展】 KMP算法原理和代码详解"
"QpQUdVL-baA","算法讲解101【扩展】 KMP算法相关题目"
"SYeOMJtvtCg","算法讲解102【扩展】 AC自动机原理、优化、代码详解"
"Td_4dnzGkU4","算法讲解103【扩展】 Manacher算法、扩展KMP"
"Dm1xdNqXIzY","算法讲解104【扩展】 Manacher算法相关题目"
"5rrWmGBB0Xo","算法讲解105【扩展】字符串哈希原理、代码、题目详解"
"ZM2MQJO-QD8","算法讲解106【扩展】哈希函数、哈希表、布隆过滤器、一致性哈希"
"-qvvqAasYk0","算法讲解107【扩展】大厂面试中经常漫聊的有趣算法问题"
"twIZctw858I","算法讲解108【扩展】树状数组原理、扩展、代码详解"
"KRXA3INj6_A","算法讲解109【扩展】树状数组相关题目"
"W2s_7i0wRCU","算法讲解110【扩展】线段树专题1-线段树原理和代码详解"
"Teu-rb4uVVM","算法讲解111【扩展】线段树专题2-线段树的离散化、二分搜索、特别修改"
"xO4JCZT6EBE","算法讲解112【扩展】线段树专题3-线段树维护更多类型的信息"
"u5aXDcYq3HU","算法讲解113【扩展】线段树专题4-线段树解决区间合并的问题"
"8rY4NiayCXM","算法讲解114【扩展】线段树专题5-开点线段树、区间最值和历史最值"
"M0XSnNNeba4","算法讲解115【扩展】线段树专题6-线段树与扫描线结合的题目"
"dm2ZX2S3NY0","算法讲解116【扩展】摩尔投票大加强，线段树里捉海王"
"mcHajWmrTOk","算法讲解117【扩展】倍增算法和ST表"
"fj_ih_wPG3Q","算法讲解118【扩展】树上问题专题1-树上倍增和LCA-上"
"dtjU-0HCFeo","算法讲解119【扩展】树上问题专题2-树上倍增和LCA-下"
"XDz2mNj7lfI","算法讲解120【扩展】树上问题专题3-树的重心"
"3T3kdJvO3Sw","算法讲解121【扩展】树上问题专题4-树的直径"
"DPCOk3HaR7s","算法讲解122【扩展】树上问题专题5-树上差分"
"VQWGjcqSJ4k","算法讲解123【扩展】树上问题专题6-换根dp"
"ehw-VVFcp0s","算法讲解124【扩展】Morris遍历"
"dWlPtV-tmuQ","算法讲解125【扩展】轮廓线dp"
"WgrV4ZdyviM","算法讲解126【扩展】三进制状压dp"
"YDQ7YjbFIs8","算法讲解127【扩展】动态规划优化专题1-优化尝试和状态设计-上"
"iowWpaLLA14","算法讲解128【扩展】动态规划优化专题2-优化尝试和状态设计-下"
"A4yQtvRznm8","算法讲解129【扩展】动态规划优化专题3-倍增优化"
"dQyMCXJD65Y","算法讲解130【扩展】动态规划优化专题4-单调队列和单调栈优化"
"msaCfP-FZto","算法讲解131【扩展】动态规划优化专题5-树状数组和线段树优化"
"Q4qJ9rqqxxc","算法讲解132【扩展】动态规划优化专题6-预处理数组优化"
"wRNZ7cxT3XQ","算法讲解133【扩展】高斯消元专题1-解决加法方程组"
"ztj1mFA_D_I","算法讲解134【扩展】高斯消元专题2-解决异或方程组"
"gZxC3qLNN2E","算法讲解135【扩展】高斯消元专题3-解决同余方程组"
"43J0yuIYY1Q","算法讲解136【扩展】线性基-上"
"8HYpnQVTAY4","算法讲解137【扩展】线性基-下"
"sewBt8apvGg","算法讲解138【扩展】01分数规划"
"O9Hvlk1KmlA","算法讲解139【扩展】裴蜀定理和扩展欧几里得算法"
"TAcPoV5MpzI","算法讲解140【扩展】扩展欧几里得和二元一次不定方程"
"o8iTWjriEVQ","算法讲解141【扩展】中国剩余定理及其扩展"
"YMhhNPSbfPI","算法讲解142【扩展】负环和差分约束"
"ZdL49Qr_-TI","算法讲解143【扩展】同余最短路"
"BK6ofkVawjs","算法讲解144【扩展】二项式定理证明和相关题目"
"HbMiHcYrFQ4","算法讲解145【扩展】二项式反演的四种形式、证明、相关题目"
"wFdkk3XYmms","算法讲解146【扩展】康托展开、约瑟夫环、完美洗牌"
"blH7eY5r8IA","算法讲解147【扩展】卡特兰数题型详解和取模处理"
"7Y8-SZRH0Sw","算法讲解148【扩展】有序表专题1-AVL树"
"jUSi5dlKL44","算法讲解149【扩展】有序表专题2-跳表"
"NAIsNhihjYg","算法讲解150【扩展】有序表专题3-替罪羊树"
"FdHi4iN7y_4","算法讲解151【扩展】有序表专题4-笛卡尔树、Treap树"
"dBX-qdLPNQs","算法讲解152【扩展】有序表专题5-FHQ Treap"
"UN6LjkRDsfw","算法讲解153【扩展】有序表专题6-Splay树"
"8Te4HMLyPFg","算法讲解154【挺难】左偏树的原理、代码、相关题目"
